temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,e_min,stable_struct
0.0,100,-4.9621991005,-5.652753994999999,-5.674010949875,-5.674010949875,Structure-0
10.0,100,-4.96219912725,-5.65275399675,-5.6740109510000005,-5.6740109510000005,Structure-0
20.0,100,-4.962199642,-5.652754028,-5.674010971625,-5.674010971625,Structure-0
30.0,100,-4.96220179275,-5.6527541675,-5.67401106375,-5.67401106375,Structure-0
40.0,100,-4.9622069475,-5.65275454775,-5.67401131475,-5.67401131475,Structure-0
50.0,100,-4.9622164965,-5.652755356999999,-5.67401185075,-5.67401185075,Structure-0
60.0,100,-4.962231840249999,-5.6527568455,-5.674012841625,-5.674012841625,Structure-0
70.0,100,-4.962254404499999,-5.65275933325,-5.6740145091250005,-5.6740145091250005,Structure-0
80.0,100,-4.962285652249999,-5.6527632215,-5.6740171395,-5.6740171395,Structure-0
90.0,100,-4.9623270785,-5.65276900475,-5.674021097375,-5.674021097375,Structure-0
100.0,100,-4.962380195,-5.652777277249999,-5.67402683675,-5.67402683675,Structure-0
110.0,100,-4.962446508,-5.6527887345,-5.67403490625,-5.67403490625,Structure-0
120.0,100,-4.96252749725,-5.6528041655,-5.674045946375,-5.674045946375,Structure-0
130.0,100,-4.962624594499999,-5.652824441,-5.6740606825,-5.6740606825,Structure-0
140.0,100,-4.96273916725,-5.652850498249999,-5.674079912375,-5.674079912375,Structure-0
150.0,100,-4.9628725045,-5.65288332675,-5.6741044935,-5.6741044935,Structure-0
160.0,100,-4.96302581025,-5.652923953,-5.674135329375,-5.674135329375,Structure-0
170.0,100,-4.96320019575,-5.65297342825,-5.674173357125,-5.674173357125,Structure-0
180.0,100,-4.963396681,-5.653032817,-5.6742195365,-5.6742195365,Structure-0
190.0,100,-4.9636161935,-5.653103187499999,-5.674274839625,-5.674274839625,Structure-0
200.0,100,-4.96385957325,-5.6531856025,-5.674340243125,-5.674340243125,Structure-0
210.0,100,-4.96412757675,-5.653281113499999,-5.67441671975,-5.67441671975,Structure-0
