temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0
0.0,0,-9.0647993995,-8.89754233525,-8.904854454875
10.0,0,-9.06479942675,-8.89754233675,-8.904854456
20.0,0,-9.06479994825,-8.897542368,-8.904854476625001
30.0,0,-9.06480211475,-8.897542507499999,-8.90485456875
40.0,0,-9.06480729275,-8.89754288775,-8.904854819750001
50.0,0,-9.06481687175,-8.897543697,-8.904855355750001
60.0,0,-9.0648322505,-8.8975451855,-8.904856346625001
70.0,0,-9.0648548545,-8.89754767325,-8.904858014125
80.0,0,-9.064886146,-8.8975515615,-8.904860644500001
90.0,0,-9.06492761975,-8.89755734475,-8.90486460225
100.0,0,-9.0649807865,-8.89756561725,-8.904870341625001
110.0,0,-9.06504715275,-8.8975770745,-8.904878411
120.0,0,-9.065128198,-8.8975925055,-8.904889451125001
130.0,0,-9.0652253535,-8.89761278075,-8.904904187125
140.0,0,-9.0653399865,-8.897638837999999,-8.904923416875
150.0,0,-9.06547338625,-8.897671666499999,-8.904947998
160.0,0,-9.065626756,-8.8977122925,-8.904978833625002
170.0,0,-9.0658012075,-8.89776176775,-8.905016861250001
180.0,0,-9.06599776,-8.8978211565,-8.905063040375001
190.0,0,-9.066217341,-8.89789152675,-8.905118343375001
200.0,0,-9.06646079075,-8.89797394175,-8.905183746625001
210.0,0,-9.06672886525,-8.89806945225,-8.905260223125001
220.0,0,-9.06702224325,-8.898179091,-8.905348735875
230.0,0,-9.067341532,-8.898303864999999,-8.905450232500002
240.0,0,-9.0676872725,-8.89844475275,-8.905565639875
250.0,0,-9.06805994625,-8.898602699,-8.905695859875001
260.0,0,-9.06845998025,-8.89877861025,-8.905841765875001
270.0,0,-9.068887753,-8.89897335425,-8.906004199500002
280.0,0,-9.069343597,-8.899187755,-8.906183968
290.0,0,-9.0698278055,-8.899422593,-8.906381842125
300.0,0,-9.07034063425,-8.899678603749999,-8.906598555
310.0,0,-9.07088230525,-8.899956476249999,-8.9068348005
320.0,0,-9.07145301025,-8.900256854,-8.907091233125001
330.0,0,-9.072052912,-8.90058033525,-8.907368467125002
340.0,0,-9.07268214825,-8.90092747275,-8.907667077500001
350.0,0,-9.073340832,-8.90129877525,-8.907987599250001
360.0,0,-9.07402905375,-8.901694709,-8.908330529
370.0,0,-9.07474688425,-8.90211569875,-8.908696325125002
380.0,0,-9.075494374,-8.902562129,-8.909085409500001
390.0,0,-9.0762715565,-8.9030343465,-8.909498168
400.0,0,-9.0770784475,-8.903532661,-8.909934952125
410.0,0,-9.07791504825,-8.904057348,-8.91039608025
420.0,0,-9.07878134475,-8.9046086495,-8.91088183925
430.0,0,-9.07967730925,-8.905186776999999,-8.911392485750001
440.0,0,-9.08060290175,-8.905791912,-8.911928247750001
450.0,0,-9.08155807,-8.906424208499999,-8.912489326125002
460.0,0,-9.08254275125,-8.907083795,-8.913075895625001
470.0,0,-9.0835568715,-8.9077707755,-8.913688107250001
480.0,0,-9.08460034825,-8.908485231,-8.914326088625002
490.0,0,-9.085673089,-8.909227222,-8.914989946250001
500.0,0,-9.08677499375,-8.90999678875,-8.915679766250001
510.0,0,-9.0879059545,-8.91079395375,-8.916395615875
520.0,0,-9.0890658565,-8.911618722,-8.91713754475
530.0,0,-9.090254578,-8.912471083,-8.917905586000002
540.0,0,-9.0914719915,-8.91335101225,-8.918699757375
550.0,0,-9.09271796425,-8.91425847075,-8.919520062250001
560.0,0,-9.09399235775,-8.9151934085,-8.92036649075
570.0,0,-9.0952950295,-8.91615576325,-8.92123902075
580.0,0,-9.096625833,-8.91714546225,-8.9221376185
590.0,0,-9.09798461725,-8.91816242375,-8.923062239875001
600.0,0,-9.0993712285,-8.919206556999999,-8.924012830750002
610.0,0,-9.1007855095,-8.92027776325,-8.924989328250001
620.0,0,-9.1022273005,-8.9213759365,-8.925991661000001
630.0,0,-9.1036964395,-8.922500964,-8.927019750125002
640.0,0,-9.10519276175,-8.9236527275,-8.928073509625001
650.0,0,-9.1067161015,-8.9248311025,-8.929152847000001
660.0,0,-9.10826629075,-8.92603596025,-8.93025766425
670.0,0,-9.10984316075,-8.9272671675,-8.9313878575
680.0,0,-9.1114465405,-8.92852458725,-8.9325433185
690.0,0,-9.11307625975,-8.929808078,-8.93372393425
700.0,0,-9.114732146,-8.9311174965,-8.93492958775
710.0,0,-9.116414027,-8.932452696,-8.936160158500002
720.0,0,-9.11812173,-8.9338135275,-8.937415522875002
730.0,0,-9.119855082,-8.9351998395,-8.938695554
740.0,0,-9.12161390975,-8.936611479749999,-8.9400001225
750.0,0,-9.12339804075,-8.93804829325,-8.941329096875
760.0,0,-9.12520730175,-8.9395101245,-8.942682343500001
770.0,0,-9.1270415205,-8.94099681675,-8.944059726875
780.0,0,-9.128900525,-8.9425082125,-8.94546111
790.0,0,-9.1307841435,-8.9440441535,-8.946886354625
800.0,0,-9.13269220525,-8.94560448075,-8.948335321375001
810.0,0,-9.13462453975,-8.94718903575,-8.949807869750002
820.0,0,-9.136580978,-8.94879765875,-8.95130385875
830.0,0,-9.138561351,-8.95043019125,-8.952823146625
840.0,0,-9.14056549125,-8.95208647375,-8.954365591250001
850.0,0,-9.14259323175,-8.95376634775,-8.95593105
860.0,0,-9.14464440725,-8.955469655,-8.957519380375
870.0,0,-9.14671885275,-8.957196237,-8.9591304395
880.0,0,-9.148816405,-8.958945937,-8.96076408475
890.0,0,-9.15093690125,-8.96071859775,-8.96242017375
900.0,0,-9.15308018075,-8.96251406325,-8.964098564
910.0,0,-9.155246083,-8.96433217825,-8.965799113625001
920.0,0,-9.15743444975,-8.9661727885,-8.967521681000001
930.0,0,-9.15964512325,-8.96803574,-8.969266125
940.0,0,-9.1618779475,-8.96992088025,-8.971032305125
950.0,0,-9.16413276775,-8.971828057749999,-8.9728200815
960.0,0,-9.16640943025,-8.97375712175,-8.974629314500001
970.0,0,-9.16870778275,-8.975707922749999,-8.976459865875
980.0,0,-9.171027675,-8.977680312,-8.978311597500001
990.0,0,-9.173368957,-8.9796741425,-8.9801843725
1000.0,0,-9.17573148075,-8.98168926775,-8.9820780545
0.0,25,-7.835870474749999,-8.0349985495,-8.046664355125001
10.0,25,-7.8358705015,-8.034998551,-8.04666435625
20.0,25,-7.8358710165,-8.03499858225,-8.046664376875
30.0,25,-7.835873167749999,-8.034998722,-8.046664469000001
40.0,25,-7.835878322999999,-8.034999101999999,-8.04666472
50.0,25,-7.835887872499999,-8.034999911249999,-8.046665256
60.0,25,-7.835903216249999,-8.035001399999999,-8.046666246875
70.0,25,-7.835925780499999,-8.03500388775,-8.046667914375
80.0,25,-7.835957028249999,-8.035007775999999,-8.04667054475
90.0,25,-7.835998454499999,-8.035013559,-8.046674502625
100.0,25,-7.8360515705,-8.0350218315,-8.046680242125001
110.0,25,-7.836117883249999,-8.03503328875,-8.0466883115
120.0,25,-7.836198872249999,-8.03504871975,-8.04669935175
130.0,25,-7.836295969249999,-8.035068995,-8.046714087875001
140.0,25,-7.836410541499999,-8.035095051999999,-8.04673331775
150.0,25,-7.8365438785,-8.03512788025,-8.046757899000001
160.0,25,-7.836697183749999,-8.0351685065,-8.046788734875001
170.0,25,-7.836871569249999,-8.035217981499999,-8.046826762750001
180.0,25,-7.837068053999999,-8.03527737,-8.046872942250001
190.0,25,-7.83728756625,-8.035347739999999,-8.0469282455
200.0,25,-7.837530945499999,-8.035430155,-8.046993649125001
210.0,25,-7.8377989485,-8.0355256655,-8.047070126000001
220.0,25,-7.838092254249999,-8.035635303749999,-8.047158639125001
230.0,25,-7.8384114695,-8.03576007775,-8.047260136125
240.0,25,-7.838757135499999,-8.035900965249999,-8.047375544000001
250.0,25,-7.839129733999999,-8.036058911249999,-8.0475057645
260.0,25,-7.839529692249999,-8.03623482225,-8.047651671
270.0,25,-7.839957388249999,-8.036429565999999,-8.047814105250001
280.0,25,-7.840413154999999,-8.0366439665,-8.04799387425
290.0,25,-7.8408972855,-8.03687880425,-8.048191749
300.0,25,-7.841410035749999,-8.0371348145,-8.048408462500001
310.0,25,-7.841951627749999,-8.037412686749999,-8.048644708625
320.0,25,-7.842522252999999,-8.03771306425,-8.048901141750001
330.0,25,-7.843122074999999,-8.038036544999999,-8.0491783765
340.0,25,-7.84375123075,-8.03838368225,-8.0494769875
350.0,25,-7.844409833499999,-8.03875498425,-8.049797510000001
360.0,25,-7.845097973999999,-8.03915091775,-8.050140440375001
370.0,25,-7.845815722749999,-8.039571907,-8.050506237250001
380.0,25,-7.846563130749999,-8.040018337,-8.050895322375
390.0,25,-7.847340230749999,-8.040490554,-8.051308081625
400.0,25,-7.8481470395,-8.040988868249999,-8.051744866375001
410.0,25,-7.848983557249999,-8.041513554749999,-8.05220599525
420.0,25,-7.8498497705,-8.042064856,-8.052691755000001
430.0,25,-7.85074565175,-8.04264298275,-8.053202402375002
440.0,25,-7.8516711605,-8.04324811725,-8.053738165125
450.0,25,-7.852626245249999,-8.0438804135,-8.054299244125001
460.0,25,-7.853610842249999,-8.0445399995,-8.0548858145
470.0,25,-7.854624878499999,-8.045226979499999,-8.055498026875
480.0,25,-7.855668270499999,-8.045941434749999,-8.056136009125002
490.0,25,-7.85674092675,-8.046683425249999,-8.0567998675
500.0,25,-7.857842746749999,-8.0474529915,-8.057489688250001
510.0,25,-7.858973622749999,-8.048250156,-8.05820553875
520.0,25,-7.860133439499999,-8.04907492375,-8.058947468375
530.0,25,-7.861322075749999,-8.04992728425,-8.0597155105
540.0,25,-7.86253940375,-8.050807212999999,-8.060509682625002
550.0,25,-7.863785290999999,-8.051714671,-8.061329988375
560.0,25,-7.865059598749999,-8.052649608249999,-8.062176417625
570.0,25,-7.866362184999999,-8.053611962249999,-8.0630489485
580.0,25,-7.867692902499999,-8.054601660749999,-8.063947547000001
590.0,25,-7.869051600749999,-8.05561862175,-8.06487216925
600.0,25,-7.870438125749999,-8.0566627545,-8.065822761000002
610.0,25,-7.871852320499999,-8.05773396025,-8.06679925925
620.0,25,-7.873294025249999,-8.058832133,-8.067801592875
630.0,25,-7.874763077749999,-8.05995716,-8.068829682875
640.0,25,-7.876259313749999,-8.06110892275,-8.069883443125
650.0,25,-7.87778256675,-8.0622872975,-8.070962781375
660.0,25,-7.879332669499999,-8.06349215475,-8.0720675995
670.0,25,-7.880909452499999,-8.064723361499999,-8.073197793625
680.0,25,-7.8825127455,-8.065980780499999,-8.0743532555
690.0,25,-7.884142377749999,-8.06726427075,-8.075533872000001
700.0,25,-7.885798176999999,-8.06857368875,-8.076739526375
710.0,25,-7.887479970999999,-8.069908887499999,-8.077970098000002
720.0,25,-7.889187586749999,-8.0712697185,-8.079225463250001
730.0,25,-7.890920851749999,-8.07265603,-8.080505495125001
740.0,25,-7.892679592249999,-8.0740676695,-8.0818100645
750.0,25,-7.894463635999999,-8.0755044825,-8.083139039875
760.0,25,-7.896272809749999,-8.076966313249999,-8.08449228725
770.0,25,-7.898106940999999,-8.078453005,-8.085869671500001
780.0,25,-7.899965857999999,-8.0799644,-8.0872710555
790.0,25,-7.901849389,-8.0815003405,-8.088696301
800.0,25,-7.903757362999999,-8.083060667249999,-8.090145268625001
810.0,25,-7.90568961,-8.084645221499999,-8.091617817875001
820.0,25,-7.907645960499999,-8.086253844,-8.09311380775
830.0,25,-7.909626245749999,-8.08788637575,-8.0946330965
840.0,25,-7.911630298249999,-8.08954265775,-8.096175541875
850.0,25,-7.913657951249999,-8.091222531249999,-8.097741001500001
860.0,25,-7.915709038999999,-8.09292583775,-8.09932933275
870.0,25,-7.917783396499999,-8.09465241925,-8.100940392750001
880.0,25,-7.919880860749999,-8.096402118499999,-8.102574038875002
890.0,25,-7.922001269249999,-8.09817477875,-8.10423012875
900.0,25,-7.924144460499999,-8.0999702435,-8.105908519875001
910.0,25,-7.926310275,-8.101788357999999,-8.107609070375
920.0,25,-7.928498553499999,-8.103628967499999,-8.109331638625001
930.0,25,-7.930709138999999,-8.1054919185,-8.1110760835
940.0,25,-7.932941875249999,-8.10737705825,-8.112842264500001
950.0,25,-7.935196607249999,-8.109284234999999,-8.114630041625
960.0,25,-7.9374731815,-8.1112132985,-8.116439275625
970.0,25,-7.939771445999999,-8.11316409875,-8.118269827750002
980.0,25,-7.942091249749999,-8.1151364875,-8.12012156025
990.0,25,-7.944432443499999,-8.11713031725,-8.121994336125
1000.0,25,-7.94679487925,-8.119145441999999,-8.123888019
0.0,50,-6.800154759750001,-7.21048304525,-7.225790563375
10.0,50,-6.8001547865,-7.210483047,-7.2257905645
20.0,50,-6.80015530275,-7.21048307825,-7.22579058525
30.0,50,-6.80015745725,-7.21048321775,-7.22579067725
40.0,50,-6.800162617500001,-7.210483598,-7.22579092825
50.0,50,-6.80017217375,-7.21048440725,-7.22579146425
60.0,50,-6.80018752575,-7.21048589575,-7.225792455125
70.0,50,-6.80021009925,-7.210488383499999,-7.225794122625
80.0,50,-6.80024135725,-7.21049227175,-7.225796753
90.0,50,-6.8002827945,-7.210498054999999,-7.225800710875
100.0,50,-6.8003359225,-7.2105063275,-7.22580645025
110.0,50,-6.80040224775,-7.210517784749999,-7.225814519625
120.0,50,-6.80048324975,-7.21053321575,-7.22582555975
130.0,50,-6.800580360250001,-7.210553491,-7.22584029575
140.0,50,-6.80069494625,-7.21057954825,-7.225859525500001
150.0,50,-6.800828297750001,-7.210612376749999,-7.225884106625
160.0,50,-6.800981617500001,-7.21065300275,-7.225914942375001
170.0,50,-6.80115601775,-7.210702478,-7.22595297
180.0,50,-6.801352517750001,-7.210761866749999,-7.225999149250001
190.0,50,-6.80157204525,-7.210832237,-7.22605445225
200.0,50,-6.80181544,-7.210914652,-7.2261198555
210.0,50,-6.802083459,-7.21101016275,-7.226196332000001
220.0,50,-6.8023767805,-7.21111980125,-7.226284844875
230.0,50,-6.80269601175,-7.2112445755,-7.2263863415
240.0,50,-6.803041694,-7.21138546325,-7.226501749
250.0,50,-6.803414309,-7.2115434095,-7.226631969
260.0,50,-6.80381428375,-7.211719320749999,-7.226777875125
270.0,50,-6.80424199625,-7.21191406475,-7.226940308875
280.0,50,-6.804697779750001,-7.2121284655,-7.227120077375
290.0,50,-6.8051819272500005,-7.2123633035,-7.227317951625
300.0,50,-6.8056946942500005,-7.212619314249999,-7.227534664625
310.0,50,-6.80623630325,-7.21289718675,-7.22777091025
320.0,50,-6.80680694575,-7.2131975645,-7.228027342875
330.0,50,-6.80740678475,-7.21352104575,-7.228304577
340.0,50,-6.8080359577500005,-7.21386818325,-7.228603187375
350.0,50,-6.80869457775,-7.21423948575,-7.22892370925
360.0,50,-6.809382736,-7.214635419499999,-7.229266639
370.0,50,-6.810100502,-7.215056409,-7.22963243525
380.0,50,-6.8108479275,-7.21550283925,-7.23002151975
