temp,pressure,stable_struct
0.0,0,1
10.0,0,1
20.0,0,1
30.0,0,1
40.0,0,1
50.0,0,1
60.0,0,1
70.0,0,1
80.0,0,1
90.0,0,1
100.0,0,1
110.0,0,1
120.0,0,1
130.0,0,1
140.0,0,1
150.0,0,1
160.0,0,1
170.0,0,1
180.0,0,1
190.0,0,1
200.0,0,1
210.0,0,1
220.0,0,1
230.0,0,1
240.0,0,1
250.0,0,1
260.0,0,1
270.0,0,1
280.0,0,1
290.0,0,1
300.0,0,1
310.0,0,1
320.0,0,1
330.0,0,1
340.0,0,1
350.0,0,1
360.0,0,1
370.0,0,1
380.0,0,1
390.0,0,1
400.0,0,1
410.0,0,1
420.0,0,1
430.0,0,1
440.0,0,1
450.0,0,1
460.0,0,1
470.0,0,1
480.0,0,1
490.0,0,1
500.0,0,1
510.0,0,1
520.0,0,1
530.0,0,1
540.0,0,1
550.0,0,1
560.0,0,1
570.0,0,1
580.0,0,1
590.0,0,1
600.0,0,1
610.0,0,1
620.0,0,1
630.0,0,1
640.0,0,1
650.0,0,1
660.0,0,1
670.0,0,1
680.0,0,1
690.0,0,1
700.0,0,1
710.0,0,1
720.0,0,1
730.0,0,1
740.0,0,1
750.0,0,1
760.0,0,1
770.0,0,1
780.0,0,1
790.0,0,1
800.0,0,1
810.0,0,1
820.0,0,1
830.0,0,1
840.0,0,1
850.0,0,1
860.0,0,1
870.0,0,1
880.0,0,1
890.0,0,1
900.0,0,1
910.0,0,1
920.0,0,1
930.0,0,1
940.0,0,1
950.0,0,1
960.0,0,1
970.0,0,1
980.0,0,1
990.0,0,1
1000.0,0,1
0.0,25,0
10.0,25,0
20.0,25,0
30.0,25,0
40.0,25,0
50.0,25,0
60.0,25,0
70.0,25,0
80.0,25,0
90.0,25,0
100.0,25,0
110.0,25,0
120.0,25,0
130.0,25,0
140.0,25,0
150.0,25,0
160.0,25,0
170.0,25,0
180.0,25,0
190.0,25,0
200.0,25,0
210.0,25,0
220.0,25,0
230.0,25,0
240.0,25,0
250.0,25,0
260.0,25,0
270.0,25,0
280.0,25,0
290.0,25,0
300.0,25,0
310.0,25,0
320.0,25,0
330.0,25,0
340.0,25,0
350.0,25,0
360.0,25,0
370.0,25,0
380.0,25,0
390.0,25,0
400.0,25,0
410.0,25,0
420.0,25,0
430.0,25,0
440.0,25,0
450.0,25,0
460.0,25,0
470.0,25,0
480.0,25,0
490.0,25,0
500.0,25,0
510.0,25,0
520.0,25,0
530.0,25,0
540.0,25,0
550.0,25,0
560.0,25,0
570.0,25,0
580.0,25,0
590.0,25,0
600.0,25,0
610.0,25,0
620.0,25,0
630.0,25,0
640.0,25,0
650.0,25,0
660.0,25,0
670.0,25,0
680.0,25,0
690.0,25,0
700.0,25,0
710.0,25,0
720.0,25,0
730.0,25,0
740.0,25,0
750.0,25,0
760.0,25,0
770.0,25,0
780.0,25,0
790.0,25,0
800.0,25,0
810.0,25,0
820.0,25,0
830.0,25,0
840.0,25,0
850.0,25,0
860.0,25,0
870.0,25,0
880.0,25,0
890.0,25,0
900.0,25,0
910.0,25,0
920.0,25,0
930.0,25,0
940.0,25,0
950.0,25,0
960.0,25,0
970.0,25,0
980.0,25,0
990.0,25,0
1000.0,25,0
0.0,50,0
10.0,50,0
20.0,50,0
30.0,50,0
40.0,50,0
50.0,50,0
60.0,50,0
70.0,50,0
80.0,50,0
90.0,50,0
100.0,50,0
110.0,50,0
120.0,50,0
130.0,50,0
140.0,50,0
150.0,50,0
160.0,50,0
170.0,50,0
180.0,50,0
190.0,50,0
200.0,50,0
210.0,50,0
220.0,50,0
230.0,50,0
240.0,50,0
250.0,50,0
260.0,50,0
270.0,50,0
280.0,50,0
290.0,50,0
300.0,50,0
310.0,50,0
320.0,50,0
330.0,50,0
340.0,50,0
350.0,50,0
360.0,50,0
370.0,50,0
380.0,50,0
390.0,50,0
400.0,50,0
410.0,50,0
420.0,50,0
430.0,50,0
440.0,50,0
450.0,50,0
460.0,50,0
470.0,50,0
480.0,50,0
490.0,50,0
500.0,50,0
510.0,50,0
520.0,50,0
530.0,50,0
540.0,50,0
550.0,50,0
560.0,50,0
570.0,50,0
580.0,50,0
590.0,50,0
600.0,50,0
610.0,50,0
620.0,50,0
630.0,50,0
640.0,50,0
650.0,50,0
660.0,50,0
670.0,50,0
680.0,50,0
690.0,50,0
700.0,50,0
710.0,50,0
720.0,50,0
730.0,50,0
740.0,50,0
750.0,50,0
760.0,50,0
770.0,50,0
780.0,50,0
790.0,50,0
800.0,50,0
810.0,50,0
820.0,50,0
830.0,50,0
840.0,50,0
850.0,50,0
860.0,50,0
870.0,50,0
880.0,50,0
890.0,50,0
900.0,50,0
910.0,50,0
920.0,50,0
930.0,50,0
940.0,50,0
950.0,50,0
960.0,50,0
970.0,50,0
980.0,50,0
990.0,50,0
1000.0,50,0
0.0,75,0
10.0,75,0
20.0,75,0
30.0,75,0
40.0,75,0
50.0,75,0
60.0,75,0
70.0,75,0
80.0,75,0
90.0,75,0
100.0,75,0
110.0,75,0
120.0,75,0
130.0,75,0
140.0,75,0
150.0,75,0
160.0,75,0
170.0,75,0
180.0,75,0
190.0,75,0
200.0,75,0
210.0,75,0
220.0,75,0
230.0,75,0
240.0,75,0
250.0,75,0
260.0,75,0
270.0,75,0
280.0,75,0
290.0,75,0
300.0,75,0
310.0,75,0
320.0,75,0
330.0,75,0
340.0,75,0
350.0,75,0
360.0,75,0
370.0,75,0
380.0,75,0
390.0,75,0
400.0,75,0
410.0,75,0
420.0,75,0
430.0,75,0
440.0,75,0
450.0,75,0
460.0,75,0
470.0,75,0
480.0,75,0
490.0,75,0
500.0,75,0
510.0,75,0
520.0,75,0
530.0,75,0
540.0,75,0
550.0,75,0
560.0,75,0
570.0,75,0
580.0,75,0
590.0,75,0
600.0,75,0
610.0,75,0
620.0,75,0
630.0,75,0
640.0,75,0
650.0,75,0
660.0,75,0
670.0,75,0
680.0,75,0
690.0,75,0
700.0,75,0
710.0,75,0
720.0,75,0
730.0,75,0
740.0,75,0
750.0,75,0
760.0,75,0
770.0,75,0
780.0,75,0
790.0,75,0
800.0,75,0
810.0,75,0
820.0,75,0
830.0,75,0
840.0,75,0
850.0,75,0
860.0,75,0
870.0,75,0
880.0,75,0
890.0,75,0
900.0,75,0
910.0,75,0
920.0,75,0
930.0,75,0
940.0,75,0
950.0,75,0
960.0,75,0
970.0,75,0
980.0,75,0
990.0,75,0
1000.0,75,0
0.0,100,0
10.0,100,0
20.0,100,0
30.0,100,0
40.0,100,0
50.0,100,0
60.0,100,0
70.0,100,0
80.0,100,0
90.0,100,0
100.0,100,0
110.0,100,0
120.0,100,0
130.0,100,0
140.0,100,0
150.0,100,0
160.0,100,0
170.0,100,0
180.0,100,0
190.0,100,0
200.0,100,0
210.0,100,0
220.0,100,0
230.0,100,0
240.0,100,0
250.0,100,0
260.0,100,0
270.0,100,0
280.0,100,0
290.0,100,0
300.0,100,0
310.0,100,0
320.0,100,0
330.0,100,0
340.0,100,0
350.0,100,0
360.0,100,0
370.0,100,0
380.0,100,0
390.0,100,0
400.0,100,0
410.0,100,0
420.0,100,0
430.0,100,0
440.0,100,0
450.0,100,0
460.0,100,0
470.0,100,0
480.0,100,0
490.0,100,0
500.0,100,0
510.0,100,0
520.0,100,0
530.0,100,0
540.0,100,0
550.0,100,0
560.0,100,0
570.0,100,0
580.0,100,0
590.0,100,0
600.0,100,0
610.0,100,0
620.0,100,0
630.0,100,0
640.0,100,0
650.0,100,0
660.0,100,0
670.0,100,0
680.0,100,0
690.0,100,0
700.0,100,0
710.0,100,0
720.0,100,0
730.0,100,0
740.0,100,0
750.0,100,0
760.0,100,0
770.0,100,0
780.0,100,0
790.0,100,0
800.0,100,0
810.0,100,0
820.0,100,0
830.0,100,0
840.0,100,0
850.0,100,0
860.0,100,0
870.0,100,0
880.0,100,0
890.0,100,0
900.0,100,0
910.0,100,0
920.0,100,0
930.0,100,0
940.0,100,0
950.0,100,0
960.0,100,0
970.0,100,0
980.0,100,0
990.0,100,0
1000.0,100,0
