temp,pressure,stable_struct
0.0,0,0
0.0,1,0
0.0,2,0
0.0,3,0
0.0,4,1
0.0,5,1
0.0,6,1
0.0,7,1
0.0,8,1
0.0,9,1
0.0,10,1
0.0,11,1
0.0,12,1
0.0,13,1
0.0,14,1
0.0,15,1
0.0,16,1
0.0,17,1
0.0,18,1
0.0,19,1
0.0,20,1
0.0,21,1
0.0,22,1
0.0,23,1
0.0,24,1
0.0,25,1
0.0,26,1
0.0,27,1
0.0,28,1
0.0,29,1
0.0,30,1
0.0,31,1
0.0,32,1
0.0,33,1
0.0,34,1
0.0,35,1
0.0,36,1
0.0,37,1
0.0,38,1
0.0,39,1
0.0,40,1
0.0,41,1
0.0,42,1
0.0,43,1
0.0,44,1
0.0,45,1
0.0,46,1
0.0,47,1
0.0,48,1
0.0,49,1
0.0,50,1
0.0,51,1
0.0,52,1
0.0,53,1
0.0,54,1
0.0,55,1
0.0,56,1
0.0,57,1
0.0,58,1
0.0,59,1
0.0,60,1
0.0,61,1
0.0,62,1
0.0,63,1
0.0,64,1
0.0,65,1
0.0,66,1
0.0,67,1
0.0,68,1
0.0,69,1
0.0,70,1
0.0,71,1
0.0,72,1
0.0,73,1
0.0,74,1
0.0,75,1
0.0,76,1
0.0,77,1
0.0,78,1
0.0,79,1
0.0,80,1
0.0,81,1
0.0,82,1
0.0,83,1
0.0,84,1
0.0,85,1
0.0,86,1
0.0,87,1
0.0,88,1
0.0,89,1
0.0,90,1
0.0,91,1
0.0,92,1
0.0,93,1
0.0,94,1
0.0,95,1
0.0,96,1
0.0,97,1
0.0,98,1
0.0,99,1
0.0,100,1
10.0,0,0
10.0,1,0
10.0,2,0
10.0,3,0
10.0,4,1
10.0,5,1
10.0,6,1
10.0,7,1
10.0,8,1
10.0,9,1
10.0,10,1
10.0,11,1
10.0,12,1
10.0,13,1
10.0,14,1
10.0,15,1
10.0,16,1
10.0,17,1
10.0,18,1
10.0,19,1
10.0,20,1
10.0,21,1
10.0,22,1
10.0,23,1
10.0,24,1
10.0,25,1
10.0,26,1
10.0,27,1
10.0,28,1
10.0,29,1
10.0,30,1
10.0,31,1
10.0,32,1
10.0,33,1
10.0,34,1
10.0,35,1
10.0,36,1
10.0,37,1
10.0,38,1
10.0,39,1
10.0,40,1
10.0,41,1
10.0,42,1
10.0,43,1
10.0,44,1
10.0,45,1
10.0,46,1
10.0,47,1
10.0,48,1
10.0,49,1
10.0,50,1
10.0,51,1
10.0,52,1
10.0,53,1
10.0,54,1
10.0,55,1
10.0,56,1
10.0,57,1
10.0,58,1
10.0,59,1
10.0,60,1
10.0,61,1
10.0,62,1
10.0,63,1
10.0,64,1
10.0,65,1
10.0,66,1
10.0,67,1
10.0,68,1
10.0,69,1
10.0,70,1
10.0,71,1
10.0,72,1
10.0,73,1
10.0,74,1
10.0,75,1
10.0,76,1
10.0,77,1
10.0,78,1
10.0,79,1
10.0,80,1
10.0,81,1
10.0,82,1
10.0,83,1
10.0,84,1
10.0,85,1
10.0,86,1
10.0,87,1
10.0,88,1
10.0,89,1
10.0,90,1
10.0,91,1
10.0,92,1
10.0,93,1
10.0,94,1
10.0,95,1
10.0,96,1
10.0,97,1
10.0,98,1
10.0,99,1
10.0,100,1
20.0,0,0
20.0,1,0
20.0,2,0
20.0,3,0
20.0,4,1
20.0,5,1
20.0,6,1
20.0,7,1
20.0,8,1
20.0,9,1
20.0,10,1
20.0,11,1
20.0,12,1
20.0,13,1
20.0,14,1
20.0,15,1
20.0,16,1
20.0,17,1
20.0,18,1
20.0,19,1
20.0,20,1
20.0,21,1
20.0,22,1
20.0,23,1
20.0,24,1
20.0,25,1
20.0,26,1
20.0,27,1
20.0,28,1
20.0,29,1
20.0,30,1
20.0,31,1
20.0,32,1
20.0,33,1
20.0,34,1
20.0,35,1
20.0,36,1
20.0,37,1
20.0,38,1
20.0,39,1
20.0,40,1
20.0,41,1
20.0,42,1
20.0,43,1
20.0,44,1
20.0,45,1
20.0,46,1
20.0,47,1
20.0,48,1
20.0,49,1
20.0,50,1
20.0,51,1
20.0,52,1
20.0,53,1
20.0,54,1
20.0,55,1
20.0,56,1
20.0,57,1
20.0,58,1
20.0,59,1
20.0,60,1
20.0,61,1
20.0,62,1
20.0,63,1
20.0,64,1
20.0,65,1
20.0,66,1
20.0,67,1
20.0,68,1
20.0,69,1
20.0,70,1
20.0,71,1
20.0,72,1
20.0,73,1
20.0,74,1
20.0,75,1
20.0,76,1
20.0,77,1
20.0,78,1
20.0,79,1
20.0,80,1
20.0,81,1
20.0,82,1
20.0,83,1
20.0,84,1
20.0,85,1
20.0,86,1
20.0,87,1
20.0,88,1
20.0,89,1
20.0,90,1
20.0,91,1
20.0,92,1
20.0,93,1
20.0,94,1
20.0,95,1
20.0,96,1
20.0,97,1
20.0,98,1
20.0,99,1
20.0,100,1
30.0,0,0
30.0,1,0
30.0,2,0
30.0,3,0
30.0,4,1
30.0,5,1
30.0,6,1
30.0,7,1
30.0,8,1
30.0,9,1
30.0,10,1
30.0,11,1
30.0,12,1
30.0,13,1
30.0,14,1
30.0,15,1
30.0,16,1
30.0,17,1
30.0,18,1
30.0,19,1
30.0,20,1
30.0,21,1
30.0,22,1
30.0,23,1
30.0,24,1
30.0,25,1
30.0,26,1
30.0,27,1
30.0,28,1
30.0,29,1
30.0,30,1
30.0,31,1
30.0,32,1
30.0,33,1
30.0,34,1
30.0,35,1
30.0,36,1
30.0,37,1
30.0,38,1
30.0,39,1
30.0,40,1
30.0,41,1
30.0,42,1
30.0,43,1
30.0,44,1
30.0,45,1
30.0,46,1
30.0,47,1
30.0,48,1
30.0,49,1
30.0,50,1
30.0,51,1
30.0,52,1
30.0,53,1
30.0,54,1
30.0,55,1
30.0,56,1
30.0,57,1
30.0,58,1
30.0,59,1
30.0,60,1
30.0,61,1
30.0,62,1
30.0,63,1
30.0,64,1
30.0,65,1
30.0,66,1
30.0,67,1
30.0,68,1
30.0,69,1
30.0,70,1
30.0,71,1
30.0,72,1
30.0,73,1
30.0,74,1
30.0,75,1
30.0,76,1
30.0,77,1
30.0,78,1
30.0,79,1
30.0,80,1
30.0,81,1
30.0,82,1
30.0,83,1
30.0,84,1
30.0,85,1
30.0,86,1
30.0,87,1
30.0,88,1
30.0,89,1
30.0,90,1
30.0,91,1
30.0,92,1
30.0,93,1
30.0,94,1
30.0,95,1
30.0,96,1
30.0,97,1
30.0,98,1
30.0,99,1
30.0,100,1
40.0,0,0
40.0,1,0
40.0,2,0
40.0,3,0
40.0,4,1
40.0,5,1
40.0,6,1
40.0,7,1
40.0,8,1
40.0,9,1
40.0,10,1
40.0,11,1
40.0,12,1
40.0,13,1
40.0,14,1
40.0,15,1
40.0,16,1
40.0,17,1
40.0,18,1
40.0,19,1
40.0,20,1
40.0,21,1
40.0,22,1
40.0,23,1
40.0,24,1
40.0,25,1
40.0,26,1
40.0,27,1
40.0,28,1
40.0,29,1
40.0,30,1
40.0,31,1
40.0,32,1
40.0,33,1
40.0,34,1
40.0,35,1
40.0,36,1
40.0,37,1
40.0,38,1
40.0,39,1
40.0,40,1
40.0,41,1
40.0,42,1
40.0,43,1
40.0,44,1
40.0,45,1
40.0,46,1
40.0,47,1
40.0,48,1
40.0,49,1
40.0,50,1
40.0,51,1
40.0,52,1
40.0,53,1
40.0,54,1
40.0,55,1
40.0,56,1
40.0,57,1
40.0,58,1
40.0,59,1
40.0,60,1
40.0,61,1
40.0,62,1
40.0,63,1
40.0,64,1
40.0,65,1
40.0,66,1
40.0,67,1
40.0,68,1
40.0,69,1
40.0,70,1
40.0,71,1
40.0,72,1
40.0,73,1
40.0,74,1
40.0,75,1
40.0,76,1
40.0,77,1
40.0,78,1
40.0,79,1
40.0,80,1
40.0,81,1
40.0,82,1
40.0,83,1
40.0,84,1
40.0,85,1
40.0,86,1
40.0,87,1
40.0,88,1
40.0,89,1
40.0,90,1
40.0,91,1
40.0,92,1
40.0,93,1
40.0,94,1
40.0,95,1
40.0,96,1
40.0,97,1
40.0,98,1
40.0,99,1
40.0,100,1
50.0,0,0
50.0,1,0
50.0,2,0
50.0,3,0
50.0,4,1
50.0,5,1
50.0,6,1
50.0,7,1
50.0,8,1
50.0,9,1
50.0,10,1
50.0,11,1
50.0,12,1
50.0,13,1
50.0,14,1
50.0,15,1
50.0,16,1
50.0,17,1
50.0,18,1
50.0,19,1
50.0,20,1
50.0,21,1
50.0,22,1
50.0,23,1
50.0,24,1
50.0,25,1
50.0,26,1
50.0,27,1
50.0,28,1
50.0,29,1
50.0,30,1
50.0,31,1
50.0,32,1
50.0,33,1
50.0,34,1
50.0,35,1
50.0,36,1
50.0,37,1
50.0,38,1
50.0,39,1
50.0,40,1
50.0,41,1
50.0,42,1
50.0,43,1
50.0,44,1
50.0,45,1
50.0,46,1
50.0,47,1
50.0,48,1
50.0,49,1
50.0,50,1
50.0,51,1
50.0,52,1
50.0,53,1
50.0,54,1
50.0,55,1
50.0,56,1
50.0,57,1
50.0,58,1
50.0,59,1
50.0,60,1
50.0,61,1
50.0,62,1
50.0,63,1
50.0,64,1
50.0,65,1
50.0,66,1
50.0,67,1
50.0,68,1
50.0,69,1
50.0,70,1
50.0,71,1
50.0,72,1
50.0,73,1
50.0,74,1
50.0,75,1
50.0,76,1
50.0,77,1
50.0,78,1
50.0,79,1
50.0,80,1
50.0,81,1
50.0,82,1
50.0,83,1
50.0,84,1
50.0,85,1
50.0,86,1
50.0,87,1
50.0,88,1
50.0,89,1
50.0,90,1
50.0,91,1
50.0,92,1
50.0,93,1
50.0,94,1
50.0,95,1
50.0,96,1
50.0,97,1
50.0,98,1
50.0,99,1
50.0,100,1
60.0,0,0
60.0,1,0
60.0,2,0
60.0,3,0
60.0,4,1
60.0,5,1
60.0,6,1
60.0,7,1
60.0,8,1
60.0,9,1
60.0,10,1
60.0,11,1
60.0,12,1
60.0,13,1
60.0,14,1
60.0,15,1
60.0,16,1
60.0,17,1
60.0,18,1
60.0,19,1
60.0,20,1
60.0,21,1
60.0,22,1
60.0,23,1
60.0,24,1
60.0,25,1
60.0,26,1
60.0,27,1
60.0,28,1
60.0,29,1
60.0,30,1
60.0,31,1
60.0,32,1
60.0,33,1
60.0,34,1
60.0,35,1
60.0,36,1
60.0,37,1
60.0,38,1
60.0,39,1
60.0,40,1
60.0,41,1
60.0,42,1
60.0,43,1
60.0,44,1
60.0,45,1
60.0,46,1
60.0,47,1
60.0,48,1
60.0,49,1
60.0,50,1
60.0,51,1
60.0,52,1
60.0,53,1
60.0,54,1
60.0,55,1
60.0,56,1
60.0,57,1
60.0,58,1
60.0,59,1
60.0,60,1
60.0,61,1
60.0,62,1
60.0,63,1
60.0,64,1
60.0,65,1
60.0,66,1
60.0,67,1
60.0,68,1
60.0,69,1
60.0,70,1
60.0,71,1
60.0,72,1
60.0,73,1
60.0,74,1
60.0,75,1
60.0,76,1
60.0,77,1
60.0,78,1
60.0,79,1
60.0,80,1
60.0,81,1
60.0,82,1
60.0,83,1
60.0,84,1
60.0,85,1
60.0,86,1
60.0,87,1
60.0,88,1
60.0,89,1
60.0,90,1
60.0,91,1
60.0,92,1
60.0,93,1
60.0,94,1
60.0,95,1
60.0,96,1
60.0,97,1
60.0,98,1
60.0,99,1
60.0,100,1
70.0,0,0
70.0,1,0
70.0,2,0
70.0,3,0
70.0,4,1
70.0,5,1
70.0,6,1
70.0,7,1
70.0,8,1
70.0,9,1
70.0,10,1
70.0,11,1
70.0,12,1
70.0,13,1
70.0,14,1
70.0,15,1
70.0,16,1
70.0,17,1
70.0,18,1
70.0,19,1
70.0,20,1
70.0,21,1
70.0,22,1
70.0,23,1
70.0,24,1
70.0,25,1
70.0,26,1
70.0,27,1
70.0,28,1
70.0,29,1
70.0,30,1
70.0,31,1
70.0,32,1
70.0,33,1
70.0,34,1
70.0,35,1
70.0,36,1
70.0,37,1
70.0,38,1
70.0,39,1
70.0,40,1
70.0,41,1
70.0,42,1
70.0,43,1
70.0,44,1
70.0,45,1
70.0,46,1
70.0,47,1
70.0,48,1
70.0,49,1
70.0,50,1
70.0,51,1
70.0,52,1
70.0,53,1
70.0,54,1
70.0,55,1
70.0,56,1
70.0,57,1
70.0,58,1
70.0,59,1
70.0,60,1
70.0,61,1
70.0,62,1
70.0,63,1
70.0,64,1
70.0,65,1
70.0,66,1
70.0,67,1
70.0,68,1
70.0,69,1
70.0,70,1
70.0,71,1
70.0,72,1
70.0,73,1
70.0,74,1
70.0,75,1
70.0,76,1
70.0,77,1
70.0,78,1
70.0,79,1
70.0,80,1
70.0,81,1
70.0,82,1
70.0,83,1
70.0,84,1
70.0,85,1
70.0,86,1
70.0,87,1
70.0,88,1
70.0,89,1
70.0,90,1
70.0,91,1
70.0,92,1
70.0,93,1
70.0,94,1
70.0,95,1
70.0,96,1
70.0,97,1
70.0,98,1
70.0,99,1
70.0,100,1
80.0,0,0
80.0,1,0
80.0,2,0
80.0,3,0
80.0,4,1
80.0,5,1
80.0,6,1
80.0,7,1
80.0,8,1
80.0,9,1
80.0,10,1
80.0,11,1
80.0,12,1
80.0,13,1
80.0,14,1
80.0,15,1
80.0,16,1
80.0,17,1
80.0,18,1
80.0,19,1
80.0,20,1
80.0,21,1
80.0,22,1
80.0,23,1
80.0,24,1
80.0,25,1
80.0,26,1
80.0,27,1
80.0,28,1
80.0,29,1
80.0,30,1
80.0,31,1
80.0,32,1
80.0,33,1
80.0,34,1
80.0,35,1
80.0,36,1
80.0,37,1
80.0,38,1
80.0,39,1
80.0,40,1
80.0,41,1
80.0,42,1
80.0,43,1
80.0,44,1
80.0,45,1
80.0,46,1
80.0,47,1
80.0,48,1
80.0,49,1
80.0,50,1
80.0,51,1
80.0,52,1
80.0,53,1
80.0,54,1
80.0,55,1
80.0,56,1
80.0,57,1
80.0,58,1
80.0,59,1
80.0,60,1
80.0,61,1
80.0,62,1
80.0,63,1
80.0,64,1
80.0,65,1
80.0,66,1
80.0,67,1
80.0,68,1
80.0,69,1
80.0,70,1
80.0,71,1
80.0,72,1
80.0,73,1
80.0,74,1
80.0,75,1
80.0,76,1
80.0,77,1
80.0,78,1
80.0,79,1
80.0,80,1
80.0,81,1
80.0,82,1
80.0,83,1
80.0,84,1
80.0,85,1
80.0,86,1
80.0,87,1
80.0,88,1
80.0,89,1
80.0,90,1
80.0,91,1
80.0,92,1
80.0,93,1
80.0,94,1
80.0,95,1
80.0,96,1
80.0,97,1
80.0,98,1
80.0,99,1
80.0,100,1
90.0,0,0
90.0,1,0
90.0,2,0
90.0,3,0
90.0,4,1
90.0,5,1
90.0,6,1
90.0,7,1
90.0,8,1
90.0,9,1
90.0,10,1
90.0,11,1
90.0,12,1
90.0,13,1
90.0,14,1
90.0,15,1
90.0,16,1
90.0,17,1
90.0,18,1
90.0,19,1
90.0,20,1
90.0,21,1
90.0,22,1
90.0,23,1
90.0,24,1
90.0,25,1
90.0,26,1
90.0,27,1
90.0,28,1
90.0,29,1
90.0,30,1
90.0,31,1
90.0,32,1
90.0,33,1
90.0,34,1
90.0,35,1
90.0,36,1
90.0,37,1
90.0,38,1
90.0,39,1
90.0,40,1
90.0,41,1
90.0,42,1
90.0,43,1
90.0,44,1
90.0,45,1
